规则名称,规则类别,指标类型,量化指标,取数方式,阈值/评分标准
内容合规标准,合规检查,硬性指标,虚假宣传检测、违规营销检测、低俗擦边识别、站外引流检测、夸张承诺检测、无资质宣传检测,CV多标签分类（低俗/擦边） + NLP文本规则（虚假/夸大/引流） + ASR转写关键词,任一命中=一票否决；合规分=0
封面合规标准,合规检查,硬性指标,封面违规元素检测（材质虚假/功效虚假/禁限售商品/危险不适画面/低质量图片）,CV多标签分类模型,命中=一票否决；疑似扣10分
违规检查,合规检查,硬性指标,违禁词命中数 / 敏感词命中数 / 虚假承诺标记,ASR转写 + NLP关键词库（违禁词/敏感词） + 视觉OCR（画面文字）,任一命中=一票否决；0容忍
家居日百高频避坑,合规检查,可标注指标,功效夸大标记 / 前后对比过猛标记 / 封面大字报标记 / 低质搬运检测,视觉对比度分析 + NLP文本情绪分析 + 视频指纹查重,任一命中=扣20分；4项全触发=一票否决
诱导第三方处置细则,合规检查,硬性指标,站外联系方式数量 / 口令检测,文本正则匹配（手机号/微信/QQ/链接） + 视觉OCR,命中=一票否决
抖音电商创作者违规管理规则,合规检查,可计算指标,账号健康分,平台接口（账号健康分/违规记录）,健康分<80=一票否决
前3秒强开场,内容质量,可计算指标,3秒留存率 / 3秒跳出率,平台数据接口（完播率/留存率）,≥70%=优(20分)；50-70%=良(12分)；<50%=差(5分)
内容要有信息量,内容质量,可标注指标,信息密度评分（卖点/方法/数据点出现频次，个/分钟）,ASR转写 + NLP实体/知识点提取，统计干货词密度,≥5个/分钟=优(20分)；2-5=良(12分)；<2=差(5分)
内容质量标准,内容质量,硬性指标,画面分辨率、主体占比、亮度、BGM合规,CV检测（分辨率/亮度/构图主体占比）,≥720p且主体占比≥40%且亮度正常=优(20分)；缺一项=扣7分
优质内容五大标准,内容质量,可标注指标,五维各20分：①真实可信（表述一致性）②信息价值（卖点完整度）③专业有趣（专业词占比）④声画体验（音画同步/节奏）⑤内容合规,视觉+ASR多模态综合评分,100分制；≥80=优(20分)；60-80=良(13分)；<60=差(6分)
推荐流量五大重点,内容质量,可标注指标,五维各20分：①信息密度②封面标题吸引力③实景/演示/对比标注占比④完播率/点击率/转化率⑤差评率/详情页一致度,CV场景分类+ASR语义+平台数据,每项20分；≥80=优(20分)；60-80=良(13分)；<60=差(6分)
家居日百出量方向,内容质量,可标注指标,痛点开场标记/实景演示占比/基础信息完整度（材质/尺寸/价格/场景）/营销话术占比,CV场景分类 + ASR关键词提取,痛点+实景+基础信息齐全=优(20分)；缺1项=扣7分
千川素材三优标准,内容质量,可标注指标,声画优（音质/画面评分）、互动优（完播/点击/互动率）、跑量优（CTR/转化率/CPM）,CV+平台数据综合,三项各33分；总分≥80=优(20分)；60-80=良(13分)；<60=差(6分)
抖音电商好内容标准解读,内容质量,可标注指标,好内容评价分（综合真实可信/信息价值/专业有趣/声画体验/合规）,多模态模型综合打分,≥80=优(20分)；60-80=良(13分)；<60=差(6分)
过基础门槛,基础门槛,硬性指标,画质(≥720p)、水印检测、时长(15-60s)、封面标题规范,CV检测（分辨率/水印/封面）+ 视频元数据,任一不达标=0分；画质低+水印+时长不合规=一票否决
基础数据门槛,基础门槛,可计算指标,播放量 / 完播率,平台数据接口,播放量>400且完播率>10%=通过(20分)；不达标=不入推荐池(0分)
可投放内容标准,基础门槛,硬性指标,产品外观完整度、画面文案一致度、排版美观度,CV检测（产品外观完整性/画面与文案对齐度/排版评分）,CV评分≥80=可投千川(20分)；60-80=需优化(10分)；<60=不可投(0分)
投放标准,基础门槛,可标注指标,商品描述一致度 / 品牌调性匹配度,NLP语义相似度（描述vs实际/品牌调性）,偏差<10%=通过(20分)；10-20%=扣10分；>20%=0分
蹭热点和活动,运营策略,硬性指标,命中热点话题数 / 命中官方活动数,NLP热点匹配（热榜词/话题标签/BGM）,≥2个=+3分；≥1个=+2分；0个=0分（上限+5）
付费加热,运营策略,硬性指标,DOU+投放计划完整度（定向/出价/创意）,投放计划检查,完整=+1分；不完整=0分（上限+5）
千川素材三优(跑量),运营策略,可计算指标,消耗能力 / 转化效果,平台广告数据,跑量优=+1分（上限+5）
持续投放评判标准,运营策略,可计算指标,点击率 / 3天曝光 / 消耗,平台广告数据,点击率≥4%且3天曝光>400且消耗≥100=+1分（上限+5）
商品入池资格,商品入池,可计算指标,商品评分、精选联盟状态、违规记录,平台接口（精选联盟状态/商品评分/违规记录）,评分≥4.5且无违规=通过(5分)；评分<4.0或有违规=0分
商品侧入池标准,商品入池,硬性指标,信息完整度 / 是否有重复铺货 / 混淆信息检测,平台接口（商品信息完整度/重复铺货标记/混淆信息标记）,完整度≥90%且无重复=通过(5分)；任一不达标=0分
